code,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
300035,137.42,18592.22,23385.38,97951.63,69901.13,14831.8,37459.12,1.6,0.09,3.49,4.73,20091225
300344,441.51,13758.09,24124.8,138222.98,56800.26,29973.7,33957.98,1.41,0.029,2.66,6.46,20120801
600306,0,17740.57,17813.89,209700.34,48542.84,116180.97,20389.11,1.14,-0.49,-0.74,-24.61,20001226
985,140.63,12963.95,12963.95,66067.45,19489.05,39665.35,25894.61,2,0.161,3.9,7.74,20000726
852,0,59815.76,59815.76,681488.31,522057.84,128397.76,94717.9,1.58,-0.57,3.69,3.43,19981126
600338,38.09,15833.33,65300.73,161732.31,64280.8,55404.38,2236.43,0.03,0.688,1.6,21.88,20001227
2591,0,16747.08,26050.69,92502.25,52465.08,20433.6,32301.21,1.24,-0.044,2.63,6.35,20110621
2378,1200.43,92293.34,92416.74,328387.03,135205.81,97256.88,57607.26,0.62,0.007,2.07,5.68,20100331
600058,481.51,107191.07,107191.07,2449593,2005429.63,97073.09,411974.28,3.84,0.028,4.67,3.84,19970528
600348,114.92,240500,240500,3867660.5,1287889.63,1063493.38,0,0,0.053,5.58,1.45,20030821
601377,20.98,669667.19,669667.19,11624745,0,72749.49,1433418.13,2.14,0.305,4.72,1.81,20101013
2203,29.43,144475.45,169211.7,1159477.88,671997.75,90775.15,21689.92,0.13,0.234,2.47,3.72,20080116
600500,77.13,172312.45,208301.27,5198251,2480016.25,1051055,444103.59,2.13,0.108,5.44,2.04,20000301
603223,90.21,7900,12000,93703.67,31912.9,41998.65,28106.4,2.34,0.372,5.17,8.65,20150630
600491,56.31,94760,126210,2675522.5,2504493,30110.44,147892.73,1.17,0.162,4.09,2.97,20040524
600490,195.63,147900,147900,479425.19,210733.2,252441.47,16710.35,0.11,0.03,1.25,6.85,20030626
600477,26.93,80253.07,105714.93,649570.25,542410.81,67907.72,26852.85,0.25,0.283,1.87,5.42,20031110
791,1616.48,72211.4,97112.61,1940992.38,204454.38,1585335.88,340271.13,3.5,0.007,5.26,2.85,19971014
600711,81.05,145674.73,149705.23,963828.5,478938.91,69975.15,198520.31,1.33,0.078,2.63,3.21,19960531
600746,141.75,30466.08,30642.14,59922.57,21431.76,27753.88,6207.23,0.2,0.075,1.44,9.85,19960918
422,295.43,89781.29,89786.67,4089960.75,1426052.38,1888946.25,176477.3,1.97,0.02,7.88,1.02,19960815
600568,78.52,50660.44,71173.9,774202.69,492605.41,48063.67,430045.56,6.04,0.27,8.09,3.05,20010518
600395,161.89,165505.19,165505.19,1078053.75,390155.19,282745.31,233941.05,1.41,0.046,3.47,2.88,20010531
601008,557.85,81163.5,101521.5,690886.63,58052.03,371866.16,161476.69,1.59,0.007,3.16,1.7,20070426
300280,778.64,12800,12800,84406,48428.19,22396.46,42202.78,3.3,0.034,4.96,7.12,20111229
680,0,105694.97,124078.75,905070.13,487732.41,218451.95,119006.42,0.96,-0.066,2.5,2.43,19970122
983,120.27,315119.78,315120,5372759.5,1554721.5,2148048,93211.72,0.3,0.064,5.27,1.96,20000726
762,647.93,47595,52081.92,293806.66,176356.06,39396.42,158269.72,3.04,0.025,4.06,5.27,19970708
600423,0,39934.75,39934.75,421139.06,99262.18,293167.03,50930.59,1.28,-1.081,0.9,11.56,20030717
2046,0,34056.6,35360.94,219563.09,85911.25,71143.85,82063.93,2.32,-0.13,3.69,3.39,20050526
2182,44.06,22014.94,32321.13,325132.69,163944.36,119243.27,78241.81,2.42,0.363,4.23,5.03,20071113
411,63.07,20731.41,20744.99,739649.31,671985.06,26136.22,3457.71,0.17,0.288,3.53,6.85,19960716
10,235.63,40792.98,81985.46,467960.5,280030.75,5554.28,149537.16,1.82,0.027,2.68,3.14,19951027
2786,124.37,9534,38124,274964.38,190239.88,51098.8,17355.93,0.46,0.28,2.66,11.03,20151223
600307,30.07,626335.75,626335.75,3789404.75,818761.25,2510161.5,686673.19,1.1,0.072,1.52,1.9,20001220
601388,0,202540,202540,419278.88,282600.53,95723.3,8520.78,0.04,-0.003,1.05,4.14,20120423
600295,43.62,61200,103200,4532049.5,1480301.25,2207135.75,145574.91,1.41,0.176,7.12,1.44,20010426
582,35.13,26395.51,95404.57,1230757,219986.8,774009.19,274603.78,2.88,0.408,6.57,2.91,19951102
300135,128.22,71238.49,92160,297409.53,215490.95,51350.84,3251.67,0.04,0.033,1.28,4.42,20101026
600777,0,62542.32,106611.49,625147.69,277133.69,8147.68,428520.91,4.02,-0.08,5.14,3.46,19961121
300495,84.89,5010,22566.33,196746.63,92356.05,3850.71,50889.95,2.26,0.48,5.33,9.05,20151222
603598,162.01,9736,26668,89145.15,81232.72,416.73,6263.56,0.23,0.107,2.2,10.49,20150527
600506,0,14770.69,14770.69,31042.44,14353.92,3179.65,22398.22,1.52,-0.031,1.82,16.96,20011226
2623,151.01,15943.15,16000,370506.59,186536.47,112777.06,148672.02,9.29,0.284,13.73,4.17,20111013
600576,133.88,47980.48,63496.85,204416.67,90975.9,1452.55,109395.7,1.72,0.11,2.81,6.95,20030220
300428,121.28,6240,24240,68974,44400.05,13925.04,13180.1,0.54,0.208,2.49,13.56,20150319
600188,48.42,295981.94,491201.59,14547270,4242500,2677721.25,125865.5,0.26,0.207,8.55,1.56,19980701
2383,753.12,12877.51,24438.26,478936.34,228541.2,56608.98,286010.97,11.7,0.06,14.08,3.32,20100402
2429,37.51,158834.7,160152.39,941645.38,658670.94,105317.27,49218.96,0.31,0.219,3.16,3.45,20100610
2125,304.17,22260.9,34560,207910.69,67049.71,94938.05,81962.52,2.37,0.04,3.02,5.3,20070403
728,39.56,196410,196410,6731037.5,0,144025.81,983574.13,5.01,0.485,10.36,2.47,19970616
2673,56.87,279556.97,279556.97,5201992.5,0,18261.53,544138.06,1.95,0.335,4.4,5.77,20120503
300081,0,22917.22,33500,91479.4,26092.84,2703.9,33759.35,1.01,-0.013,2.33,8.04,20100520
600817,0,15567.91,16091,33838.95,12510.35,8.02,21228.23,1.32,-0.006,0.58,36.56,19940128
2447,54.49,58034.69,95245.2,331080.06,75713.9,150283.36,47285.85,0.5,0.138,2.6,3.85,20100713
300317,75.02,16772.75,47679.71,861877.81,451476.94,238510.55,358579.91,7.52,0.51,9.25,4.74,20120511
600971,48.54,100000.4,100000.4,1375990.25,485278.41,510350.81,210435.59,2.1,0.117,5.9,1.28,20040817
600970,20.68,163994.59,175425.8,2746263.5,2242942,193518.13,103227.67,0.59,0.276,3.86,1.97,20050412
600623,117.24,64636.76,211743.09,3459739.25,1556458.25,1167624,897011.88,4.24,0.128,7.57,2.64,19921204
600179,53.77,39000,106212.85,655511.88,231223.47,389667.53,55636.78,0.52,0.37,2.16,8.08,19981104
498,25.97,35417.01,112013.9,1277580.13,1004569.63,48748.28,-55661.8,-0.5,0.221,2.92,2.62,19970609
